source,sourceId,sourceType,baseUrl,licenseNote,records,fetchedAt
Baidu Careers,baidu_careers,official_enterprise_site,https://talent.baidu.com/jobs/,Official Baidu careers public pages; keep source attribution.,10,2026-07-19T12:24:10+08:00
Huawei Careers,huawei_careers,official_enterprise_api,https://career.huawei.com/reccampportal/,Official Huawei careers public pages/API; keep source attribution.,36,2026-07-19T12:24:10+08:00
Meituan Careers,meituan_careers,official_enterprise_api,https://zhaopin.meituan.com/web/social,Official Meituan careers public pages/API; keep source attribution.,250,2026-07-19T12:24:10+08:00
Tencent Careers,tencent_careers,official_enterprise_api,https://careers.tencent.com/,Public Tencent Careers job pages/API; keep source attribution.,250,2026-07-19T12:24:10+08:00
