alias,canonical_role_id,canonical_role,evidence_count
[直聘]口腔医生,backend-engineer,后端工程师,18
[福利好]口腔医生,backend-engineer,后端工程师,18
[诚聘]口腔医生,backend-engineer,后端工程师,18
[诚聘]护士,backend-engineer,后端工程师,18
【待遇优】口腔医生,backend-engineer,后端工程师,18
【招贤纳士】口腔护士,backend-engineer,后端工程师,18
【诚聘】口腔医生,backend-engineer,后端工程师,18
业务主管,backend-engineer,后端工程师,18
人事行政主管,backend-engineer,后端工程师,18
会计主管,backend-engineer,后端工程师,18
区域销售经理,backend-engineer,后端工程师,18
医疗器械销售代表,backend-engineer,后端工程师,18
导购员,backend-engineer,后端工程师,18
教师,backend-engineer,后端工程师,18
文员,backend-engineer,后端工程师,18
机修工,backend-engineer,后端工程师,18
机械结构工程师,backend-engineer,后端工程师,18
汽车金融客户经理,backend-engineer,后端工程师,18
采购,backend-engineer,后端工程师,18
销售业务员,backend-engineer,后端工程师,18
销售主管,backend-engineer,后端工程师,18
销售代表APP推广,backend-engineer,后端工程师,18
平面设计师,designer,设计师,18
机械设计工程师,designer,设计师,18
(急聘)口腔护士,backend-engineer,后端工程师,17
(直招)口腔医生,backend-engineer,后端工程师,17
(诚聘)口腔医生,backend-engineer,后端工程师,17
[待遇优]护士,backend-engineer,后端工程师,17
[机会来了]口腔医生,backend-engineer,后端工程师,17
[机会来了]护士,backend-engineer,后端工程师,17
[直招]口腔医生,backend-engineer,后端工程师,17
售后工程师,backend-engineer,后端工程师,17
培训经理,backend-engineer,后端工程师,17
外贸业务员,backend-engineer,后端工程师,17
客服主管,backend-engineer,后端工程师,17
市场总监,backend-engineer,后端工程师,17
幼儿教师,backend-engineer,后端工程师,17
招聘专员,backend-engineer,后端工程师,17
推广专员,backend-engineer,后端工程师,17
普工/操作工,backend-engineer,后端工程师,17
法务经理,backend-engineer,后端工程师,17
设备工程师,backend-engineer,后端工程师,17
设备管理员,backend-engineer,后端工程师,17
销售专员,backend-engineer,后端工程师,17
质量经理,testing-engineer,测试工程师,17
平面设计,designer,设计师,17
美工设计,designer,设计师,17
电商运营,operations-specialist,运营,17
运营专员,operations-specialist,运营,17
(10000元以上高薪)妇科医生,backend-engineer,后端工程师,16
(不要错过)口腔医生,backend-engineer,后端工程师,16
(招贤纳士)口腔医生,backend-engineer,后端工程师,16
(诚聘)口腔护士,backend-engineer,后端工程师,16
OTC销售代表,backend-engineer,后端工程师,16
[招贤纳士]护士,backend-engineer,后端工程师,16
[机会来了]口腔护士,backend-engineer,后端工程师,16
[直接谈]护士,backend-engineer,后端工程师,16
[诚招]口腔医生,backend-engineer,后端工程师,16
【不要错过】口腔护士,backend-engineer,后端工程师,16
【急缺】口腔医生,backend-engineer,后端工程师,16
【有保障】护士,backend-engineer,后端工程师,16
人事行政经理,backend-engineer,后端工程师,16
兼职营业员,backend-engineer,后端工程师,16
内勤文员,backend-engineer,后端工程师,16
区经理,backend-engineer,后端工程师,16
医院销售代表,backend-engineer,后端工程师,16
商务专员,backend-engineer,后端工程师,16
工艺工程师,backend-engineer,后端工程师,16
投标专员,backend-engineer,后端工程师,16
文员内勤,backend-engineer,后端工程师,16
月区域销售总监,backend-engineer,后端工程师,16
服务工程师,backend-engineer,后端工程师,16
机电工程师,backend-engineer,后端工程师,16
渠道主管,backend-engineer,后端工程师,16
